"gene_id","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","level3_pathway_name","ko","ko_name","ko_des"
"g_21484",0,0,"O60135.1","RecName: Full=Long-chain-fatty-acid--CoA ligase 1; AltName: Full=Fatty acid activator 1; AltName: Full=Long-chain acyl-CoA synthetase 1",20.201321,9.102715,8.708254,0,0,0.114606,1.232144,1.190411,0.070931,"Peroxisome","K01897","ACSL, fadD","long-chain acyl-CoA synthetase"
"g_24668",0,1,"O43808.1","RecName: Full=Peroxisomal membrane protein PMP34; AltName: Full=34 kDa peroxisomal membrane protein; AltName: Full=Solute carrier family 25 member 17",8.479808,4.094589,1.762404,0.02324,0.065653,0.03925,0.870687,1.306437,0.028097,"Peroxisome","K13354","SLC25A17, PMP34","solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17"
"g_25529",0,0,"O13294.3","RecName: Full=Isocitrate dehydrogenase",174.691171,41.285011,37.030012,0.208163,0.355047,0.43908,0.110786,0,0,"Peroxisome","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase"
"g_29329",0,1,"P31108.1","RecName: Full=Superoxide dismutase",88.981948,35.369577,42.45229,0.793073,0.567636,0.677902,18.433318,15.009973,2.212254,"Peroxisome","K04564","SOD2","superoxide dismutase, Fe-Mn family"
"g_30284",0,0,"Q8LPS1.1","RecName: Full=Long chain acyl-CoA synthetase 6, peroxisomal; Flags: Precursor",5.939023,3.358095,4.045566,0.205111,0,0.009543,0.698747,0.840444,0.326864,"Peroxisome","K01897","ACSL, fadD","long-chain acyl-CoA synthetase"
"g_32766",0,1,"O43808.1","RecName: Full=Peroxisomal membrane protein PMP34; AltName: Full=34 kDa peroxisomal membrane protein; AltName: Full=Solute carrier family 25 member 17",4.366107,2.420544,3.656651,0.104173,0,0,1.344255,1.343111,0,"Peroxisome","K13354","SLC25A17, PMP34","solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17"
"g_33406",0,0,"O77229.2","RecName: Full=Catalase-A",17.98581,9.073905,10.644104,0.164201,0.150253,0.135385,4.253797,4.932609,0.41838,"Peroxisome","K03781","katE, CAT, catB, srpA","catalase"
"g_33541",0,0,"Q9P0Z9.2","RecName: Full=Peroxisomal sarcosine oxidase; Short=PSO; AltName: Full=L-pipecolate oxidase; AltName: Full=L-pipecolic acid oxidase",6.524555,2.418202,3.033359,0.20438,0.02431,0,1.607577,1.152377,0.050159,"Peroxisome","K00306","PIPOX","sarcosine oxidase / L-pipecolate oxidase"
"g_33650",0,0,"P54071.3","RecName: Full=Isocitrate dehydrogenase",76.612577,48.354872,48.934044,0.941962,0.512773,0.678158,13.52286,15.561003,1.688525,"Peroxisome","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase"
"g_46063",0,0,"Q9R063.1","RecName: Full=Peroxiredoxin-5, mitochondrial; AltName: Full=Antioxidant enzyme B166; Short=AOEB166; AltName: Full=PLP; AltName: Full=Peroxiredoxin V; Short=Prx-V; AltName: Full=Peroxisomal antioxidant enzyme; AltName: Full=Thioredoxin peroxidase PMP20; Flags: Precursor",13.631137,8.743942,12.148144,0,0,0,2.368896,1.684366,0.268904,"Peroxisome","K11187","PRDX5","peroxiredoxin 5"
"g_46875",0,0,"O64894.1","RecName: Full=Acyl-coenzyme A oxidase, peroxisomal; Short=AOX; AltName: Full=Long-chain acyl-CoA oxidase; Flags: Precursor",8.952554,7.76352,8.802755,0.288545,0.162216,0.116498,5.392792,7.237372,0.618467,"Peroxisome","K00232","E1.3.3.6, ACOX1, ACOX3","acyl-CoA oxidase"
"g_50249",0,0,"O64894.1","RecName: Full=Acyl-coenzyme A oxidase, peroxisomal; Short=AOX; AltName: Full=Long-chain acyl-CoA oxidase; Flags: Precursor",9.033969,8.502107,8.531123,0.524128,0.137422,0.247999,5.550953,7.299087,0.531174,"Peroxisome","K00232","E1.3.3.6, ACOX1, ACOX3","acyl-CoA oxidase"
"g_53867",0,0,"P16100.5","RecName: Full=Isocitrate dehydrogenase",4.011118,1.941714,3.531951,2.166703,1.566038,4.189117,7.99462,8.56271,29.721058,"Peroxisome","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase"
"g_56419",0,0,"P12617.2","RecName: Full=Malonyl-CoA decarboxylase, mitochondrial; Short=MCD; Flags: Precursor",0,0.098141,0,0,0.092074,0.374435,4.315485,1.342457,5.775773,"Peroxisome","K01578","MLYCD","malonyl-CoA decarboxylase"
"g_01136",0,0,"Q96533.2","RecName: Full=Alcohol dehydrogenase class-3; AltName: Full=Alcohol dehydrogenase class-III; AltName: Full=Glutathione-dependent formaldehyde dehydrogenase; Short=FALDH; Short=FDH; Short=GSH-FDH; AltName: Full=S-(hydroxymethyl)glutathione dehydrogenase",14.833339,8.618659,8.36055,0,0,0,2.1789,2.206191,0.21052,"Drug metabolism - cytochrome P450","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase"
"g_16634",0,0,"P42327.1","RecName: Full=Alcohol dehydrogenase; Short=ADH",18.243149,7.302771,5.659542,0.320659,0.595582,0.221335,0.053081,0.058104,0,"Drug metabolism - cytochrome P450","K13953","adhP","alcohol dehydrogenase, propanol-preferring"
"g_18102",0,0,"B3FWR8.1","RecName: Full=Glutathione S-transferase hmp2; AltName: Full=Hypothemycin biosynthesis cluster protein hpm2",4.586186,3.745718,2.919928,0,0,0,1.281607,0.667316,1.352301,"Drug metabolism - cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_18369",0,0,"Q08863.1","RecName: Full=Glutathione S-transferase alpha I; AltName: Full=GST class-alpha; AltName: Full=GSTA1-1; Contains: RecName: Full=Glutathione S-transferase alpha I, N-terminally processed",10.914537,9.106087,11.074018,0.107433,0.077047,0,5.777094,5.104958,0.69721,"Drug metabolism - cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_20759",0,0,NA,NA,11.066785,7.455909,8.365768,0.092156,0.241757,0.071847,1.321239,3.260612,0.48021,"Drug metabolism - cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_46354",0,1,"P73795.1","RecName: Full=Uncharacterized protein sll1147",3.888325,1.406049,1.684107,0,0,0,1.667496,0.713467,0.186043,"Drug metabolism - cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_51381",0,0,"Q54IT3.1","RecName: Full=Probable flavin-containing monoamine oxidase A",6.229831,4.708898,4.465717,0.267497,0.032753,0.073206,2.695855,4.447548,0.340348,"Drug metabolism - cytochrome P450","K00274","MAO, aofH","monoamine oxidase"
"g_53446",0,0,"P31005.3","RecName: Full=NAD-dependent methanol dehydrogenase; Short=MDH; Short=MEDH; AltName: Full=Type 3 alcohol dehydrogenase",0.242738,0.142337,0.083151,7.605507,3.054741,2.125075,11.556814,14.727136,38.631572,"Drug metabolism - cytochrome P450","K00001","E1.1.1.1, adh","alcohol dehydrogenase"
"g_01136",0,0,"Q96533.2","RecName: Full=Alcohol dehydrogenase class-3; AltName: Full=Alcohol dehydrogenase class-III; AltName: Full=Glutathione-dependent formaldehyde dehydrogenase; Short=FALDH; Short=FDH; Short=GSH-FDH; AltName: Full=S-(hydroxymethyl)glutathione dehydrogenase",14.833339,8.618659,8.36055,0,0,0,2.1789,2.206191,0.21052,"Metabolism of xenobiotics by cytochrome P450","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase"
"g_16634",0,0,"P42327.1","RecName: Full=Alcohol dehydrogenase; Short=ADH",18.243149,7.302771,5.659542,0.320659,0.595582,0.221335,0.053081,0.058104,0,"Metabolism of xenobiotics by cytochrome P450","K13953","adhP","alcohol dehydrogenase, propanol-preferring"
"g_18102",0,0,"B3FWR8.1","RecName: Full=Glutathione S-transferase hmp2; AltName: Full=Hypothemycin biosynthesis cluster protein hpm2",4.586186,3.745718,2.919928,0,0,0,1.281607,0.667316,1.352301,"Metabolism of xenobiotics by cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_18369",0,0,"Q08863.1","RecName: Full=Glutathione S-transferase alpha I; AltName: Full=GST class-alpha; AltName: Full=GSTA1-1; Contains: RecName: Full=Glutathione S-transferase alpha I, N-terminally processed",10.914537,9.106087,11.074018,0.107433,0.077047,0,5.777094,5.104958,0.69721,"Metabolism of xenobiotics by cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_20759",0,0,NA,NA,11.066785,7.455909,8.365768,0.092156,0.241757,0.071847,1.321239,3.260612,0.48021,"Metabolism of xenobiotics by cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_46354",0,1,"P73795.1","RecName: Full=Uncharacterized protein sll1147",3.888325,1.406049,1.684107,0,0,0,1.667496,0.713467,0.186043,"Metabolism of xenobiotics by cytochrome P450","K00799","GST, gst","glutathione S-transferase"
"g_53446",0,0,"P31005.3","RecName: Full=NAD-dependent methanol dehydrogenase; Short=MDH; Short=MEDH; AltName: Full=Type 3 alcohol dehydrogenase",0.242738,0.142337,0.083151,7.605507,3.054741,2.125075,11.556814,14.727136,38.631572,"Metabolism of xenobiotics by cytochrome P450","K00001","E1.1.1.1, adh","alcohol dehydrogenase"
"g_01572",0,0,NA,NA,35.067036,15.845747,17.438305,0,0.25154,0.294442,4.344778,5.470845,0.615645,"Longevity regulating pathway - multiple species","K07200","PRKAG","5'-AMP-activated protein kinase, regulatory gamma subunit"
"g_04111",0,0,"Q01513.1","RecName: Full=Adenylate cyclase; AltName: Full=ATP pyrophosphate-lyase; AltName: Full=Adenylyl cyclase",5.359633,2.554104,1.117416,0,0.131737,0.199091,0,0,0,"Longevity regulating pathway - multiple species","K01768","E4.6.1.1","adenylate cyclase"
"g_06686",0,0,"P54674.2","RecName: Full=Phosphatidylinositol 3-kinase 2; Short=PI3-kinase; Short=PI3K; Short=PtdIns-3-kinase",11.053957,3.849246,4.143611,0.058952,0,0,1.061315,1.123233,0.106986,"Longevity regulating pathway - multiple species","K00922","PIK3CA_B_D","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta"
"g_09260",0,1,NA,NA,12.560882,3.609022,4.600732,0,0,0.047837,2.487554,2.121546,0.316119,"Longevity regulating pathway - multiple species","K01768","E4.6.1.1","adenylate cyclase"
"g_10789",0,0,"O74402.1","RecName: Full=Heat shock protein 78, mitochondrial; Flags: Precursor",11.012972,2.49072,2.642407,0.22854,0.231128,0.163804,5.76165,4.443926,0.586665,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB"
"g_11108",0,0,"P42730.2","RecName: Full=Chaperone protein ClpB1; AltName: Full=ATP-dependent Clp protease ATP-binding subunit ClpB homolog 1; AltName: Full=Casein lytic proteinase B1; AltName: Full=Heat shock protein 101; AltName: Full=Protein DEFECTIVE IN LONG-TERM ACQUIRED THERMOTOLERANCE",22.927604,2.88034,4.603009,0.378842,0.808104,0.841624,22.350482,24.971646,1.985706,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB"
"g_11915",0,0,"P42730.2","RecName: Full=Chaperone protein ClpB1; AltName: Full=ATP-dependent Clp protease ATP-binding subunit ClpB homolog 1; AltName: Full=Casein lytic proteinase B1; AltName: Full=Heat shock protein 101; AltName: Full=Protein DEFECTIVE IN LONG-TERM ACQUIRED THERMOTOLERANCE",18.651186,2.272474,2.629968,0.612159,0.479908,0.62095,9.285692,10.569998,0.598302,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB"
"g_12997",0,0,"Q86C65.1","RecName: Full=Serine/threonine-protein kinase tor; AltName: Full=Target of rapamycin",6.50735,2.521187,3.12967,0.036884,0.021339,0.038254,1.203467,1.230104,0.079862,"Longevity regulating pathway - multiple species","K07203","MTOR, FRAP, TOR","serine/threonine-protein kinase mTOR"
"g_15853",0,0,"O42227.1","RecName: Full=Probable histone deacetylase 1-B; Short=HD1-B; AltName: Full=RPD3 homolog",13.233756,6.684132,6.470892,0,0.116513,0,2.376327,1.883822,0.142044,"Longevity regulating pathway - multiple species","K06067","HDAC1_2","histone deacetylase 1/2"
"g_15928",0,0,"Q6ZLP5.1","RecName: Full=CBL-interacting protein kinase 23; AltName: Full=OsCIPK23",7.641348,4.010751,4.337406,0.167713,0.073295,0.082035,1.360301,2.116081,0.049402,"Longevity regulating pathway - multiple species","K07198","PRKAA, AMPK","5'-AMP-activated protein kinase, catalytic alpha subunit"
"g_16957",0,1,"Q8HXQ3.3","RecName: Full=Superoxide dismutase",24.037798,13.722319,12.946158,0.061327,0,0.104199,2.614049,2.715605,0.176788,"Longevity regulating pathway - multiple species","K04565","SOD1","superoxide dismutase, Cu-Zn family"
"g_22229",0,0,"Q74FF1.1","RecName: Full=Chaperone protein ClpB",3.318076,5.368507,3.546712,0,0.038299,0.05892,0,0,0,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB"
"g_29329",0,1,"P31108.1","RecName: Full=Superoxide dismutase",88.981948,35.369577,42.45229,0.793073,0.567636,0.677902,18.433318,15.009973,2.212254,"Longevity regulating pathway - multiple species","K04564","SOD2","superoxide dismutase, Fe-Mn family"
"g_31146",0,0,"P36415.2","RecName: Full=Heat shock cognate 70 kDa protein 1; Short=HSC70-1",121.84207,46.22975,46.645348,1.374357,1.034591,1.339176,29.807185,31.224379,2.029105,"Longevity regulating pathway - multiple species","K03283","HSPA1s","heat shock 70kDa protein 1/2/6/8"
"g_33406",0,0,"O77229.2","RecName: Full=Catalase-A",17.98581,9.073905,10.644104,0.164201,0.150253,0.135385,4.253797,4.932609,0.41838,"Longevity regulating pathway - multiple species","K03781","katE, CAT, catB, srpA","catalase"
"g_37568",0,1,"Q9HVN5.1","RecName: Full=Chaperone protein ClpB",15.937906,17.082723,16.963016,56.339032,24.43568,68.99148,209.707334,115.681142,461.832089,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB"
"g_43109",0,0,"Q9HVN5.1","RecName: Full=Chaperone protein ClpB",14.758799,11.684643,21.378166,21.66415,12.531946,19.206031,46.988401,69.978809,219.151116,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB"
"g_50723",0,0,"P42730.2","RecName: Full=Chaperone protein ClpB1; AltName: Full=ATP-dependent Clp protease ATP-binding subunit ClpB homolog 1; AltName: Full=Casein lytic proteinase B1; AltName: Full=Heat shock protein 101; AltName: Full=Protein DEFECTIVE IN LONG-TERM ACQUIRED THERMOTOLERANCE",10.194336,2.280264,1.90031,0.259277,0.28653,0.358704,7.572629,7.52875,0.360135,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB"
"g_51165",0,0,"P09189.1","RecName: Full=Heat shock cognate 70 kDa protein",45.865245,12.273899,12.095747,0.917899,0.809214,1.301625,28.92322,34.381711,1.954565,"Longevity regulating pathway - multiple species","K03283","HSPA1s","heat shock 70kDa protein 1/2/6/8"
